연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
3,강원,춘천시,2025 썸머워터페스티벌,문화예술-음악·공연,2025-07-25,2025-08-13
4,강원,춘천시,춘천막국수닭갈비축제,지역특산물-먹거리·로컬장터,2025-10-16,2025-10-19
5,강원,원주시,2025 댄싱카니발,문화예술-음악·공연,2025-09-26,2025-09-28
6,강원,원주시,원주 한지문화제,문화예술-음악·공연,2025-05-22,2025-05-25
8,강원,원주시,장미축제,문화예술-음악·공연,2025-06-04,2025-06-08
9,강원,원주시,섬강축제,문화예술-음악·공연,2025-09-19,2025-09-21
12,강원,원주시,제11회 치악산한우 축제,지역특산물-육류·유제품,2025-05-23,2025-05-25
13,강원,원주시,댄싱카니발과 함께하는 치악산한우 숯불구이행사,지역특산물-육류·유제품,2025-09-26,2025-09-28
14,강원,원주시,제13회 치악산 찰옥수수 축제,지역특산물-먹거리·로컬장터,2025-07-11,2025-07-12
16,강원,원주시,제4회 치악산 고구마 축제,지역특산물-농산물·과일·채소,2025-10-18,2025-10-19
18,강원,원주시,제31회 국제걷기대회,문화예술-음악·공연,2025-10-25,2025-10-26
22,강원,원주시,2025 원주만두축제,지역특산물-먹거리·로컬장터,2025-10-24,2025-10-26
25,강원,강릉시,경포 벚꽃 축제,자연생태-꽃·식물,2025-03-28,2025-04-02
28,강원,강릉시,난설헌문화제,문화예술-음악·공연,2025-04-19,2025-04-20
30,강원,강릉시,강릉 차문화 축제,문화예술-음악·공연,2025-05-23,2025-05-25
31,강원,강릉시,2025 강릉단오제,전통역사-전통·민속,2025-05-27,2025-06-03
32,강원,강릉시,강릉 비치비어 페스티벌,문화예술-음악·공연,2025-06-27,2025-07-05
33,강원,강릉시,강릉 버스킹 전국대회,문화예술-음악·공연,2025-07-04,2025-08-17
34,강원,강릉시,경포 썸머 페스티벌,문화예술-음악·공연,2025-07-29,2025-08-04
36,강원,강릉시,강릉 국가유산 야행,전통역사-전통·민속,2025-08-14,2025-08-16
37,강원,강릉시,강릉국제예술페스티벌,문화예술-음악·공연,2025-09-01,2025-09-14
38,강원,강릉시,경포 등 축제,전통역사-전통·민속,2025-10-03,2025-10-07
39,강원,강릉시,제4회 강릉 누들 축제,지역특산물-먹거리·로컬장터,2025-10-17,2025-10-19
42,강원,동해시,제12회 전천축제,문화예술-음악·공연,2025-04-04,2025-04-06
43,강원,동해시,2025 무릉별유천지 라벤더축제,자연생태-하늘·천문,2025-06-14,2025-06-22
50,강원,태백시,제32회 태백산 눈축제,문화예술-음악·공연,2025-02-07,2025-02-16
51,강원,태백시,제10회 한강낙동강발원지 축제,문화예술-음악·공연,2025-07-26,2025-08-03
58,강원,삼척시,삼척정원대보름제,전통역사-전통·민속,2025-02-14,2025-02-16
59,강원,삼척시,제21회 삼척맹방유채꽃축제,자연생태-꽃·식물,2025-03-27,2025-04-20
60,강원,삼척시,삼척 장미축제,자연생태-꽃·식물,2025-05-23,2025-06-01
61,강원,삼척시,삼척동해왕이사부축제,전통역사-전통·민속,2025-09-06,2025-09-07
62,강원,삼척시,삼척 비치 썸 페스티벌,문화예술-음악·공연,2025-08-01,2025-08-03
63,강원,삼척시,"제16회 삼척평생학습박람회 및 
제6회 책축제",문화예술-문학·독서,2025-10-25,2025-10-26
64,강원,삼척시,2025 삼척 문화유산 야행,전통역사-전통·민속,2025-09-26,2025-09-28
65,강원,홍천군,제13회 홍천강 꽁꽁축제,전통역사-전통·민속,2025-01-18,2025-02-01
78,강원,횡성군,제3회 강원예술인 한마당,문화예술-음악·공연,2025-10-17,2025-10-19
79,강원,영월군,단종문화제,전통역사-전통·민속,2025-04-25,2025-04-27
80,강원,영월군,동강국제사진제,문화예술-전시·미술·사진,2025-07-18,2025-09-28
